0	3	How would you convince your client with your ideas?	what did you believe can be done from it ?
1	2	Where do you see yourself five years from now?	How do you know if the project output is delivering the expected output and delivering out?
2	2	What obstacles or difficulties have you ever faced in communicating your ideas?	Has anyone try to stick with innovative and innovative examples in some innovative
3	1	Are you a self-motivator?	what do you keep yourself ?
4	1	How do you feel about working under a person who is younger to you?	what kind of work did you neumann appreciate ?
5	3	What do people most often criticize about you?	how did you compare to everyone ?
6	3	How would you convince your client with your ideas?	what did you believe can be done from it ?
7	2	Are you a self-motivator?	how do you turn off the motivate
8	3	How would you be an asset to this organisation?  	what is one of your goals ?
9	1	How would you be an asset to this organisation?  	How do you waste the time?
10	2	Why should you be hired from outside when someone could be promoted within the same organisation?	What is the difference between person and valuable resource
11	3	What is the biggest challenge you have faced so far?	how long does it take to complete the project
12	2	How do you kill your time when you are not working?	Is there any free time to get it to work?
13	1	How do you balance life and work?	Can this be used to make a life table and work at a time?
14	1	Do you consider yourself lucky?	what do your want to do ?
15	3	What motivates you to do a good job?	what does every job do ?
16	1	What is the difference between confidence and over-confidence?	How easy is it to confidence the confidence capabilities in easy words and being assured that it will be assured as assured of the money?
17	2	Tell me about a time you took the lead in a team project. What was the project outcome?	what was confident about your team ?
18	2	What strategies would you use to motivate your team?	what is the strategic management management
19	3	What was the toughest decision you ever had to make?  	Do you have any short term goals goals
20	2	What can you do better for us than the other candidates for the job?	what did you claim me very good about ?
21	3	How would you be an asset to this organisation?  	what do you do to proper utilisation ?
22	3	In what ways are you an organised or disorganised person?	is this an organised person
23	2	Tell me about a time when you misjudged a person.	Do you think this would work well in a team for a guy who is put in the field?
24	2	What is the biggest challenge you have faced so far?	is it good for extra efforts
25	3	What are your outside interests?	Is it good for exploring
26	1	What has been your best career move so far?	Has anyone had any experience with the best career career workout?
27	1	Tell us about a situation when your work has been criticized.	Has anyone used this with a web development
28	1	What are the qualities that you seek in your manager?	what is your model ?
29	2	How would you be an asset to this organisation?  	what is your mind about your mind ?
30	1	When was the last time you thought outside the box and how did you do it? Why?	what was the first self to our mind ?
31	3	What are your views about further studies?	What is the difference between academic and intellectual
32	1	What matters to you more - job satisfaction or salary?	do you think this would keep one satisfied with one salary
33	1	Do you consider yourself lucky?	what do your want to do ?
34	1	What do people most often criticize about you?	does it have time management
35	1	What obstacles or difficulties have you ever faced in communicating your ideas?	Is there any idea if this would work with a good idea of getting the idea to get a new?
36	3	Do you consider yourself successful? Why?	Is this good for a hard working person?
37	2	What are your strengths and weaknesses? 	what type of subjects can be lethargic ?
38	1	Describe a decision you made that was a failure. What happened and why?	what did you think did not meet the work ?
39	2	Do you consider yourself successful? Why?	Is this good for a hard working person?
40	3	Are you a risk taker or do you stay away from risk?	Is this safe to use at all times?
41	1	Explain how would you be an asset to this organisation?	what does you do to me efficiently ?
42	1	Tell me about a time you took the lead in a team project. What was the project outcome?	what was the purpose of a senior you ?
43	1	If you have problems at your workplace, how and to whom would you communicate it?	what is one of the reasons for doesnot ?
44	1	How do you kill your time when you are not working?	how did you feel you kill your coding ?
45	3	What are your views about further studies?	what is your goal in education ?
46	1	What is the biggest challenge you have faced so far?	why did you view your specialisation ?
47	3	What are your views about further studies?	what will a standing impression do ?
48	3	Give an example of how you worked in team.	what was the focus of the project ?
49	2	What do people most often criticize about you?	does it have time management
50	3	What are your views about further studies?	what did you do to the industry ?
51	2	What has been your best career move so far?	what did pursuing ms from iit ?
52	1	Give me an example of a time when you had to be quick in coming to a decision. What obstacles did you face?	how did you compare to your mother ?
53	1	How do you balance life and work?	How do you get it motivated
54	1	Do you regret any decision in your life?	what was you joined in when he was joined ?
55	2	What are your views about further studies?	What is the difference between academic and intellectual
56	2	What motivates you to do a good job?	Would the security flexibility work well for security purposes?
57	1	Describe a decision you made that was a failure. What happened and why?	what did we do in our college college ?
58	3	How do you balance life and work?	what do you believe you balance ?
59	1	Have you worked with someone unprofessional, how did you handle it?	in a corporate world , what is a fresher fresher ?
60	2	If you could relive the last 10 years of your life, what would you do differently?	in addition to hobbies , what else can be related to your hobbies ?
61	1	Tell me about a time when you misjudged a person.	what is one reason that a homosexual may react to react ?
62	2	Why should you be hired from outside when someone could be promoted within the same organisation?	what is below below me in the organization ?
63	2	What has been your greatest leadership achievement in a professional environment?	Do you have to have a project demo demo with this software or can you use it with any brand?
64	2	Describe a situation in which you had to arrive at a compromise or help others to compromise. What was your role? What steps did you take? What was the result?	what do you feel wants something on which you do n't do ?
65	1	Why should I hire you?	Would this be a good choice for a capable person to test with?
66	3	Why shouldn't I hire you?	how long have you worked to get your deliverable ?
67	2	What obstacles or difficulties have you ever faced in communicating your ideas?	what did you believe was good and new about your idea ?
68	2	Why shouldn't I hire you?	how long have you worked to get your deliverable ?
69	1	What do you do if you disagree with your boss?	Is there a situation to try to understand the point of view of the view when it is in the dark?
70	1	Why shouldn't I hire you?	what is an example of a problem in your nature ?
71	3	Are you an organised or a disorganised person, in what ways?	Can you balance the schedule between academics and social exercises?
72	1	If you have problems at your workplace, how and to whom would you communicate it?	what is your first goal ?
73	2	Why should you be hired from outside when someone could be promoted within the same organisation?	What is the difference between person and valuable resource
74	2	When was the last time you thought outside the box and how did you do it? Why?	what type of music did you begin to recall ?
75	1	Have you ever made a mistake? How did you handle it?	what did you have to handle in his exams ?
76	3	How would you be an asset to this organisation?  	what is one of your goals ?
77	2	Describe a time when your workload was heavy and how you handled it.	what is a workload workload ?
78	1	Do you consider yourself lucky?	what is you enough to make your own choices ?
79	3	What has been your best career move so far?	what did pursuing ms from iit ?
80	3	Who has inspired you in your life and why?	Is this a good inspiration for a lot of people?
81	3	 Give an example of a goal you did not meet and how you handled it.	How long does it take to deliver the project
82	2	What are your outside interests?	what kind of movies do you perform ?
83	2	What can you do better for us than the other candidates for the job?	what did you claim me very good about ?
84	1	What strategies would you use to motivate your team?	how did you view recognition ?
85	1	Describe a time when your workload was heavy and how you handled it.	when do we need to manage the workload ?
86	1	If you have problems at your workplace, how and to whom would you communicate it?	what is your first goal ?
87	3	If you have problems at your workplace, how and to whom would you communicate it?	what do your do to your seniors ?
88	2	How do you define success and how do you measure upto your own definition? 	Does it benefit to a lot of people?
89	2	Do you consider yourself lucky?	what do your want to do ?
90	3	How do you feel about working under a person who is younger to you?	what kind of work did you appreciate ?
91	1	Can you describe a situation in which you made a decision and it was a failure ? 	what did bell move your mind to ?
92	2	When was the last time you thought outside the box and how did you do it? Why?	what type of music did you begin to recall ?
93	3	Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.	what was the last project ?
94	3	Would you rather be liked or respected?	what would be fake ?
95	3	Give an example of how you worked in team.	what was the focus of the project ?
96	1	 Give an example of a goal you did not meet and how you handled it.	How long does it take to deliver the project
97	3	What strategies would you use to motivate your team?	what is the strategic management management
98	1	How do you define success and how do you measure upto your own definition? 	Does it benefit to a lot of people?
99	3	Describe a decision you made that was a failure. What happened and why?	Is the team randomly chosen
100	3	How much do you value time at work?	how is time very valuable ?
101	2	What are the qualities that you seek in your manager?	what is another name for `` smart '' ?
102	1	Are you a self-motivator?	what kind of score does you have ?
103	3	 Give an example of a goal you did not meet and how you handled it.	what did you think was more focused on ?
104	3	What was the toughest decision you ever had to make?  	what type of goals do you have ?
105	1	Describe a decision you made that was a failure. What happened and why?	what did you think we just orally ?
106	3	What is the biggest challenge you have faced so far?	What is the difference between the biggest challenge and the professional challenge game?
107	2	How do you balance life and work?	How do you get it motivated
108	1	How did you prepare for the interview?	what do you state that the company is looking for ?
109	2	Why shouldn't I hire you?	what has your work done ?
110	1	If you could relive the last 10 years of your life, what would you do differently?	how long does it last ?
111	1	Do you consider yourself lucky?	what did you i have a mail mail from ?
112	2	What strategies would you use to motivate your team?	what would generally divide the question into parts ?
113	1	Tell me about a time when you misjudged a person.	what did you do for work ?
114	2	Give me an example of a time when you had to be quick in coming to a decision. What obstacles did you face?	what was the name of the group that you was captain ?
115	3	Why should you be hired from outside when someone could be promoted within the same organisation?	What is the difference between person and valuable resource
116	3	How would you convince your client with your ideas?	what did you believe he will explain him ?
117	2	What obstacles or difficulties have you ever faced in communicating your ideas?	Has anyone working small mistakes by making a better reaction and performance?
118	3	Who has inspired you in your life and why?	Is there more than one person?
119	2	What are the strategies you think one should have to perform well in such an interview?	what does it mean to do in the company ?
120	2	Describe a time when your workload was heavy and how you handled it.	when do we need to manage the workload ?
121	1	What are the qualities that you seek in your manager?	what is another name for `` smart '' ?
122	1	What is the difference between hard work and smart work?	is it smart work
123	1	Have you worked with someone unprofessional, how did you handle it?	how did you view behaving ?
124	3	How do you feel about working under a person who is younger to you?	what do we do to go of our ego ?
125	1	If you have problems at your workplace, how and to whom would you communicate it?	what does ` jaws ' mean ?
126	1	Where do you see yourself five years from now?	what type of industry is you west a part of ?
127	2	What are the qualities that you seek in your manager?	what is another name for `` smart '' ?
128	3	What motivates you to do a good job?	Would the security flexibility work well for security purposes?
129	3	Tell me about a time when you misjudged a person.	Do you think this would work well in a team for a guy who is put in the field?
130	2	What situations make you angry?	what do you help always do ?
131	2	What obstacles or difficulties have you ever faced in communicating your ideas?	Is there any idea if this would work with a good idea of getting the idea to get a new?
132	1	When was the last time you thought outside the box and how did you do it? Why?	what did you want to do to the stairs one ?
133	2	Tell us about a situation when your work has been criticized.	Has anyone used this with a web development
134	2	How do you kill your time when you are not working?	what type of movies do you perform ?
135	1	How would you convince your client with your ideas?	what did you believe can be done from it ?
136	3	Give an example of how you worked in team.	For those of you who have owned this project for a while, are you interested in working on the project of course?
137	3	Do you consider yourself successful? Why?	is it good for a successful person
138	1	What are your strengths and weaknesses? 	what is another name for industrious ?
139	1	How will you perform under pressure? Will it affect your performance?	what starts to build up then you will make your time ?
140	2	What are your outside interests?	Is it good for exploring
141	2	What is your dream job?	Is the dream job a good dream job
142	2	Do you consider yourself successful? Why?	Is this good for a hard working person?
143	3	Why should you be hired from outside when someone could be promoted within the same organisation?	What is the difference between person and valuable resource
144	1	What has been your best career move so far?	what did pursuing ms from iit ?
145	3	Describe a time when your workload was heavy and how you handled it.	when do we need to manage the workload ?
146	1	Are you a self-motivator?	how do you turn off the motivate
147	3	Have you ever had to sell an idea to your co-workers? How did you do it?	what was one of the events that were planned for school ?
148	1	What do people most often criticize about you?	what is an example of an example of a wrong ?
149	1	Are you a risk taker or do you stay away from risk?	what did you do to jee ?
150	2	Why shouldn't I hire you?	in teams , what is the main difference between teams ?
151	3	How do you feel about working under a person who is younger to you?	what kind of work did you neumann appreciate ?
152	1	What is the difference between confidence and over-confidence?	Is this blind trait
153	1	How did you handle meeting a tight deadline?	what did tcs do in tcs ?
154	3	Describe a time when your workload was heavy and how you handled it.	when do we need to manage the workload ?
155	3	How would you be an asset to this organisation?  	can you learn perfection person and display perfection in it?
156	1	Describe a decision you made that was a failure. What happened and why?	what did we want sense to do ?
157	2	How would you convince your client with your ideas?	what did you believe he will explain him ?
158	1	Describe a decision you made that was a failure. What happened and why?	Does the whole project generate progress due to the project being completed or does it only work as a completed surface?
159	2	Are you an organised or a disorganised person, in what ways?	what kind of plans does you have ?
160	2	How much do you value time at work?	what is essential to success ?
161	2	What is the biggest challenge you have faced so far?	how long does it take to complete the project
162	1	What matters to you more - job satisfaction or salary?	what does money does money does not do ?
163	2	Tell me about a time when you misjudged a person.	what type of approach was one of the reasons for the order ?
164	3	If you could learn some new skill, what would that be?	what did you do with computer graphics ?
165	1	Can you describe a situation in which you made a decision and it was a failure ? 	what did bell move your mind to ?
166	1	What strategies would you use to motivate your team?	what would generally divide the question into parts ?
167	3	Describe a time when your workload was heavy and how you handled it.	what is one of the main effects of your work ?
168	3	Are you a risk taker or do you stay away from risk?	what do you believe will put me out of your ?
169	3	Describe a decision you made that was a failure. What happened and why?	Does the whole project generate progress due to the project being completed or does it only work as a completed surface?
170	3	What are your views about further studies?	Can this be used to learn on society
171	1	What is the biggest challenge you have faced so far?	Is this totally new in science or is it totally refurbished?
172	2	What is the biggest challenge you have faced so far?	what would have to be making your project ?
173	3	What strategies would you use to motivate your team?	what does rewards do in an individual ?
174	2	How will you perform under pressure? Will it affect your performance?	what starts to build up then you will make your time ?
175	3	How would you be an asset to this organisation?  	what is the goal of your work ?
176	1	What do people most often criticize about you?	can you hear a lot of times
177	1	What are the qualities that you seek in your manager?	what is your model ?
178	1	Describe a decision you made that was a failure. What happened and why?	Are there any progress check meetings assured that the progress meetings are going to get fine 
179	2	Have you ever had to sell an idea to your co-workers? How did you do it?	what was the purpose of the tech fest ?
180	1	How do you handle change?	how did you view change to handle the change in change ?
