Answer,Extracted Keywords,Followup Question
"I have gone through the Job Description and I am really interested in the work you are offering . I have done my specialisation on Machine learning and the work you are offering is quite similar . It's going to be an interesting journey of learning and working . surely , I am gonna learn lot of things from this job . This job is the first step towards my career goals . I want to do research in Machine learning and this will provide me a platform to have a hands on experience on real time problems and surely this will enhance my knowledge and helps in building a better path towards my career goals .",real time problems gonna learn lot first step towards better path towards really interested quite similar interesting journey career goals machine learning job description learning job working work want things surely specialisation research provide platform offering knowledge helps hands gone going experience enhance done building ,Do you have any advice for me?
"During my graduation, we have done a project on Face recognition. I was the leader of my team. In the peak stage of my project two of my teammates had a conflict between them and they told me that they are not going to be working together anymore for the project. As a team leader it is my responsibility to resolve the conflict and make them work for the project. So one day I called both of them and talked to them. I convinced them by saying the cons of the decision they have taken. After listening to me they accepted to work together. I felt very proud and I think that is the greatest leadership achievement in a professional environment.",greatest leadership achievement working together anymore work together professional environment peak stage one day face recognition project two team leader work team project leader told think teammates talked taken saying responsibility resolve proud make listening graduation going felt done decision convinced cons conflict called accepted ,Do you agree with me?
I have absolutely no problem working under a person younger than me till i know that i can gain even a small bit of knowledge from himher. the only criteria i want is that heshe should have deeper and more knowledge than me so that i can learn new stuff and gather better experience from hisher work.,learn new stuff gather better experience small bit problem working person younger hisher work gain even want till knowledge know himher heshe deeper criteria absolutely ,What do you think about this situation?
"Confidence is when somebody knows his or her shortcomings and he or she is willing to accept any outcome which may not match with hisher expectations. A confident person is very well aware of the non-trivialities in any matter and can smoothly act on them . Confidence in doing any job is obtained when after practicing a lot he is sure of the outcome because the neural pathways are consolidated. for example a student is confident in taking an exam when he has practiced and studied intensely for an exam and he is sure he will be able to tackle any type of problem. Overconfidence is pseudo-confidence i.e pretending to have an upper-hand in something inspite of lacking substantial knowledge about that particular thing, an overconfident person is ready to disregard any non-triviality in any matter solely based on his false pretences that he can tackle any matter no matter how difficult it is.",lacking substantial knowledge matter solely based well aware studied intensely something inspite somebody knows smoothly act particular thing overconfident person neural pathways hisher expectations false pretences e pretending confident person matter confident willing upper type triviality trivialities taking tackle sure student shortcomings ready pseudo problem practicing practiced overconfidence outcome obtained non may match lot job hand example exam disregard difficult consolidated confidence accept able ,Why ?
"I was working as a contract based software developer for a company. I have three more developers along with me in my team and that was the hard time when we were reaching deadline and lots of stress being imposed on us. So we hardly had sleep because we have to work day and night to complete that project within the deadline. We all worked together without rest to our eyes, hands and brain because of which we could successfully complete the project within deadline. Finally we all celebrated the success. This experience taught us a lesson that hard work never goes wasted.",hard work never goes wasted worked together without rest contract based software developer experience taught us could successfully complete project within deadline work day hard time project within reaching deadline developers along us deadline complete working three team success stress sleep night lots lesson imposed hardly hands finally eyes company celebrated brain ,Where do you see yourself in five years?
"Yeah totally I am the smallest child in my family, then it's obvious. All untried and first decisions made for my elder sister were purely refined for me. I was not allowed to take Maths with Biology in my High School. That way I am really lucky. I am lucky that I have a caring family. I am lucky to have bunch of hopeless friends :P. I was also lucky in a way that my Tenth Class CBSE board exams got cancelled due to CCE evaluation concept by the HRD Ministry at that point of time. Unfortunately, that couldn't happen the same when I was in Twelfth Class CBSE. All these instances really proved that I am one lucky bastard :P.",tenth class cbse board exams got cancelled due twelfth class cbse first decisions made cce evaluation concept instances really proved one lucky bastard really lucky yeah totally take maths smallest child purely refined hrd ministry hopeless friends high school elder sister also lucky caring family lucky family way untried unfortunately time point p obvious happen bunch biology allowed ,Why ?
"During the placements in final year of graduation, I had to prepare for campus drives and GATE at the same time. In that time prioritised the work by giving more importance to placements as GATE was after four months. I continued to attend classes for GATE so that I remain in touch with the syllabus and preparing for the placements in the rest of the time. After placements I switched my attention back to GATE.",four months final year campus drives attention back attend classes time prioritised time work touch syllabus switched rest remain preparing prepare placements importance graduation giving gate continued ,Why ?
"Well, with this job I would try to enhance y technical skills as that is the most important thing which I should have in this stage of my life. Apart from learning new technologies, learning about different architectures and design patterns followed by different product of IT industry, I would also like to lead a team where I can deploy my technical skills a well as managerial skills. I would really like to learn lot of new technologies used by the company for different projects.",new technologies used design patterns followed would really like would also like learning new technologies would try technical skills managerial skills learn lot important thing different projects different product different architectures learning well team stage life lead job industry enhance deploy company apart ,What are your favorite things about the job?<|endoftext|>The first thing to know about this
"i faced criticism when i was in my first semester. A group project was assigned to our group by out ITP professor. Our group decided that we would explore on Web Development and present it to the whole class. Since, i hardly knew anything about Web Development, i chose an obsolete topic. On top of that my presentation skills were very poor. So facing the whole class was very embarassing to me. Eventually i ended up spoiling the presentation. That was the time when i was criticised for my work.",hardly knew anything would explore whole class web development obsolete topic itp professor first semester faced criticism group project group decided presentation skills group presentation work top time spoiling since present poor facing eventually ended embarassing criticised chose assigned ,Do you think that you will ever return to your old life?
"I define success as an achievement of your goals which also adhere to your ideals. My initial interests were in the field of Chemistry followed by Computer Science. Given that I am in a good institute which is well-known for Computer Science, I would say I am partly successful. I don't consider myself completely successful as I couldn't pursue my first interest.",would say partly successful initial interests good institute first interest define success computer science completely successful chemistry followed also adhere well pursue known ideals goals given field consider achievement ,Where I am now
