question,answer,followUp,Grammar,Relevance
Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.,"The last project I did was to implement a IP asset management portal for my Institute. During the course of our project, we had to deal with a lot of changes from the customer side. Some of the request required the complete redesign of the software architecture. But our team was able to incorporate all of the changes, with a lot of hard work and a lot of sleepless nights",what was the last project ?,3,3
 Why shouldn't I hire you?,I don't give up easily on a thing. I try to explore all the avenues before calling it quits and sometimes it may result in time wasted. I realise that sometimes it's easier to give up because another way exists but I have a tendency to explore everything on a particular approach. I am trying to improve over it by taking it easy on myself if I don't complete a job and switch to next. as I am trying to realise on how wasted efforts are costlier. I have a short temper if work doesn't happen as it was supposed to happen. Earlier I would get worked upon very small things but now I have started practicing meditation to smoothen my transition and be more patient.,what do you want to explore ?,3,2
What was the toughest decision you ever had to make?  ,"I dont think I have made any such decision in which I was never sure about. I have some short term goals and some long term goals. I am felxible enough to mould my goals when it is utter necessity. Also, I am rigid enough, to make sure that I achieve what I want in life. So, I was never unsure about any big decisions I made in life.",Do you have any short term goals goals,1,3
"If you have problems at your workplace, how and to whom would you communicate it?","I first try to figure out what the actual problem is. Then if I think there is something wrong with me.Then I try not doing some things that will repeat the same problem. 

If I have problem with my colleagues then I try to sort it out by taking them to a picnic kind of things to get their misunderstandings out.

If all above doesnot work then I will go to my team leader and then report the issue that there is something seriously wrong and I am unable to figure out what it is . ",what does ` jaws ' mean ?,3,1
How would you be an asset to this organisation?  ,"I an not a kind of person who would stay calm in my room. I would first like to make something for myself and try hard to impact the world around me. I always dream too high, constantly push my boundaries, so I feel I would really make me an asset for the organisation.",Is this first time you try to impact the world or is it just like the rest of the world?,3,2
Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .",what was the lead lead to 24 hrs ?,2,1
What are the qualities that you seek in your manager?,"The qualities which i seek in my manager are :
He has to be punctual. He has to be friendly enough,so that the employee who are working under him, will not be scared in expressing problems.He should not show partiality.
He should be a role model to the people working under him.He has to tackle situations effectively.He should not be scared and frustated very easily.He should have great patience.  ",what is your model ?,3,1
How do you feel about working under a person who is younger to you?,"I feel great about that. I appreciate his/her hard work and intelligence for having them reached to a senior position at an young age. I will surely take good from that young person, collaborate and learn things.",what kind of work did you neumann appreciate ?,2,3
"If you have problems at your workplace, how and to whom would you communicate it?"," If I have problems at my workplace, I would look for someone who I trust. This could be my boss, my colleague or just friend. Also if I can know someone who has been in a similar situation, I would like to hear about how he/she approached the problem.",Would this be a good choice for a boss boss,2,1
Why will you resign from a job?,"I will consider resignation when the sparkles are no more in my eyes, and I see no significance in the work I do. I do not go behind a big pay, rather look for an interesting job. If any job that has stopped giving me such challenging jobs, I will quit.",How good is the durability?,3,1
Why shouldn't I hire you?,"One problem in my nature is that I get easily distracted from my work if I am not in my workplace. So if you are a company which purely has work from home culture, you wouldn't want to hire me. On the plus side, if you have a lab like environment in the office, I end up forcing myself to work in the lab as it provides me the right environment to work on.",what is an example of a problem in your nature ?,3,1
What motivates you to do a good job?,"Self competition ,That mainly motivates,I want to do more and more better work and In continuos competition to become more better as I used to be.",what is the difference between self and continuos ?,3,2
Do you consider yourself lucky?,"Yes, I consider myself as lucky as I have many  things that some people do not have. I have my parents to guide me, friends to support me and many more. I also think that I am lucky because of some life events I experienced like, I was preparing for GATE along with B.Tech final year, my preparations were not up to the level, but then the paper was not difficult in 2015 and I made it to IIIT-B.  ",what do your want to do ?,1,1
Describe a decision you made that was a failure. What happened and why?,"The decision to really take it light at some crucial stages of my life, led to failure. For instance, my IIT-JEE exam. There is no excuse for it. The fault was me, my inability to adapt to the changes happening in the situations all around me.",what did the fault adapt to ?,2,1
Are you a self-motivator?,"Yes, I am a self-motivator. I always think how the better or stronger version of myself would do a particular work and tend to be that person which is a big self motivating technique that allows me to be motivated every time. I always evaluate any performance by comparing my previous performance with my current performance and this motivates to be a better version of myself. It is one of the skills which I think plays an essential part in driving me towards success.",Is this a better version than the stronger version?,3,3
What has been your best career move so far?,I think joining IIITB has been my best career decision so far.,Has anyone had any experience with the best career career workout?,1,1
What is the biggest challenge you have faced so far?,"I was totally new in data science field. I like this area but i don't have that much idea about it. But I have to select specialisation within one day. I don't have sufficient time to think over that. I was completely new in this field. I am so much confused and don't have any idea about anything. So, I communicated with seniors and faculty members to know that what is actual going in each subject. After basic idea of each course, i started surfing about details of each topics on google. After getting clear idea about everything i selected my liking specialisation.  ",why did you view your specialisation ?,2,1
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",what did we want sense to do ?,1,1
Describe a decision you made that was a failure. What happened and why?,"When I was working at Cognizant Technology Solutions, I took up a project because it was the only one where an opening was available. The only other alternative was to be benched till another project came. Due to the unavailability of other projects, I took it up although I didn't find the project that interesting. The end result was that I ended up doing a project I wasn't all that excited about. I could have waited a bit longer and got a project of my choice.",what was the unavailability project trying to find ?,2,3
Where do you see yourself five years from now?,"I see myself as an in-charge of project. Managing the project, and delivering the expected output.

Apart from work, I see myself as a more mature and calmer person five years from now.",what is one of the effects of the output ?,3,2
Do you consider yourself successful? Why?,"Yes, i am a hard working person and i like to learn and lot for my personal growth",Is this good for a hard working person?,3,2
What do people most often criticize about you?,"Lack of time management, the reason why I didn't crack IIT exam",does it have time management,3,3
Are you a risk taker or do you stay away from risk?,"I am a risk taker. After I failed to clear JEE first time, though I had some other good college option, I risked taking a year drop. After an year, I failed to clear JEE again, but ended up in a better college which I wouldnt have got the first time. I like to take risk, because, whatever might be the outcome, I dont like to give up before even trying it.",what did you do to jee ?,2,3
How do you handle change?,"It is said that change is the only constant in life, which is funny because it takes time to adapt to change. I am an optimist; so any change that occurs, I generally see it as a good one. But, more often than not, the opposite happens. I guess, to answer the question, all I can say is that I try to keep an open, unprejudiced mind about why the change is taking place and try my best to adapt to it in ways that benefit me.",what is the only constant in life ?,3,1
Are you a self-motivator?,Sometimes when there is no one around to motivate me I turn into self motivator. ,how do you turn off the motivate,1,1
What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'",what will a standing impression do ?,3,3
Who has inspired you in your life and why?,"There are many inspirations across the various walks of life, but if I were to choose one single person, it would be my father. He has singlehandedly supported his family ever since he was a teenager and continues to do the same, without the slightest sign of discomfort. He has shaped me up to be the man I am.",Is there more than one person?,3,3
What strategies would you use to motivate your team?,By giving them rewards and recognition and by working with them.,how did you view recognition ?,1,1
Can you describe a situation in which you made a decision and it was a failure ? ,We had to come up with a idea for a project last semester. I think I tried to force my opinion on my team mates. I wanted them to follow my approach and that didn't turn out well. I realised that I was being very controlling over them and then I gave up. I opened my mind to their suggestions and we came up with a plan together.,what did bell move your mind to ?,1,1
How much do you value time at work?,"Time is very valuable and I have learned it the hard way. Concentration, speed and continuity along with timely execution of plans are essential to success.",what is essential to success ?,3,1
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",Does the whole project generate progress due to the project being completed or does it only work as a completed surface?,3,1
What situations make you angry?,Mostly when someone break my trust. When i try to believe someone but i do not get the results. But it help me to always self independent. ,what do you help always do ?,1,2
When was the last time you thought outside the box and how did you do it? Why?,"About a few months back, I along with 3 other batch mates attended a hackathon organised by Mercedes Benz. According to the problem statement of the hackathon we were supposed to build something for the car of the future. So, as was the case with all other teams, the first thought that came to our mind was self driving cars. Most of the teams started implementing their ideas of self-driving cars, but all in vain because lets face it building a self-driving car in 24 hours is next to impossible. At that moment, I parted myself from the traditional way of thinking about innovations and came up with an idea which will enhance the experience of the driver. I came up with the idea of sentiment analysis of the passengers in the car and thought of changing the inside atmosphere of the car based on the current overall mood of the passengers. This worked well and the judges liked our idea and asked to add more feature to enhance the in-car direr experience over the next couple of months.  ",what was the first self to our mind ?,1,1
Tell me about a time when you had to deal with a co-worker who wasn't doing his/her fair share of the work. What did you do and what was the outcome?,"Once, in a group of four, a person wasn't contributing up to the mark for some project.  The remaining three of us talked casually to that  person saying that every has a lot to do and that we cannot finish the project if you are not doing your best. At first, that person became defensive saying that that person is doing the same amount of work as anyone else. On further friendly discussion, the person agreed to put in more effort.  ",what did the remaining of us idol say that we can not finish ?,1,1
What do people most often criticize about you?,I am generally good to everyone and try to make them and myself happy about any stuff we talk about. When i have any quarrel or fight with anyone i excuse them after sometime. But the other person sometimes take advantage of this quality of mine and starts or makes a new issue and fights back. ,how did you compare to everyone ?,3,3
"If you could relive the last 10 years of your life, what would you do differently?","Doing something differently from whatever i am currently doing, may be i would think of making my career in some artistic field related to my hobbies. For now whatever I do regarding my artistic interest, it's a part of my hobby and not as a career point of  view. Since now more of the facilities available to implement something entirely different as a career aspect, may be that's what i would have gone for.","in addition to hobbies , what else can be related to your hobbies ?",3,2
What obstacles or difficulties have you ever faced in communicating your ideas?,"Sometimes it happens that I am unable to express what I want to tell because of demotivation from other parties. But still I don't lose hope and stick with my ideas and try to explain that in some innovative and real examples. One day, I and my project partners were discussing on project idea. At that time, my idea was good and new but problem was that I don't have any proof to prove that my idea will work very well. But after some days of research, I found actual proof that it is possible to implement and then we all would agreed on that topic. For the newer person, it is natural to have some difficulties in communicating but after some efforts you will surely get confidence to explain it in better way. ",Has anyone found actual possible proof that it is possible to implement after some days of research with this program?,2,2
Describe a decision you made that was a failure. What happened and why?,"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.",what did we do in our college college ?,1,2
How would you be an asset to this organisation?  ,I can be an asset to this organisation by contributing my knowledge and skills whenever and wherever its required. I will put my hard work and full dedication to achieve the goal and can make good interaction with people in organisation so as to create a good understanding to work together efficiently.,what is the goal of your work ?,3,3
Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.","For those of you who have owned this project for a while, are you interested in working on the project of course?",3,3
How will your greatest strength help you perform?,My greatest strength is my quick learning capability. This helps me to grasp things quickly and thus gives me extra time to do my job more elegantly. This way it helps me to perform.,Does this helps me to grasp things me quickly and gives me extra time to do my job or do I have to take it to my own?,1,2
"If you could learn some new skill, what would that be?","I was always interested in learning music or any musical instruments.
I enjoy listening to music so I would like to experience how it feels like making music and make others enjoy my music. 
For starters, I would like to improve my whistling skills. I would want to whistle a complete song.
In long run, I might take up learning guitar or flute. Music has always been a stress-buster for me. Learning a musical instrument has been there in bucket list for a long time.  ",what did you do to music ?,1,1
Are you a self-motivator?,"Yes, I am a self-motivator. I always think how the better or stronger version of myself would do a particular work and tend to be that person which is a big self motivating technique that allows me to be motivated every time. I always evaluate any performance by comparing my previous performance with my current performance and this motivates to be a better version of myself. It is one of the skills which I think plays an essential part in driving me towards success.",Is this a better version than the stronger version?,3,2
Describe a time when your workload was heavy and how you handled it.,"The workload during my Second Semester and Summer Vacations 2016 was pretty much heavy. However, I like to be busy nowadays. So I do not think a workload is a pressure, but the means to go forward and learn new things. However, we need to manage the workload due to a daily routine. Time management is the necessary step here. And also, I have this tendency to finish up the work of my interest quickly so as to not mess up the work and team progress.",when do we need to manage the workload ?,3,3
Are you a risk taker or do you stay away from risk?,"This depends on situation. Sometimes for my growth I had taken risks. Like as I was sure to do M-Tech and for that i need good score in gate exam. As I was aware that college placement procedure will waste a lot of time but if I cant get admission  i any college, my year will be wasted. So people suggested me to take job as backup but for master I took risk and didn't apply for placements.",what exam was you sure for ?,1,2
Describe a decision you made that was a failure. What happened and why?,"When I was working at Cognizant Technology Solutions, I took up a project because it was the only one where an opening was available. The only other alternative was to be benched till another project came. Due to the unavailability of other projects, I took it up although I didn't find the project that interesting. The end result was that I ended up doing a project I wasn't all that excited about. I could have waited a bit longer and got a project of my choice.",what was the unavailability project trying to find ?,1,2
What are your outside interests?,"I am interested in sports. I play multiple sports like cricket, tennis, table tennis, basketball, badminton. I am a cricket fan and follow each and every game. I am a foodie as well as I like to travel to new places. I am even a movie lover and watch a lot of movies.",what kind of movies do you perform ?,3,2
