Answer,Followup Question
"I have gone through the Job Description and I am really interested in the work you are offering . I have done my specialisation on Machine learning and the work you are offering is quite similar . It's going to be an interesting journey of learning and working . surely , I am gonna learn lot of things from this job . This job is the first step towards my career goals . I want to do research in Machine learning and this will provide me a platform to have a hands on experience on real time problems and surely this will enhance my knowledge and helps in building a better path towards my career goals .",What do you a the life?
"During my graduation, we have done a project on Face recognition. I was the leader of my team. In the peak stage of my project two of my teammates had a conflict between them and they told me that they are not going to be working together anymore for the project. As a team leader it is my responsibility to resolve the conflict and make them work for the project. So one day I called both of them and talked to them. I convinced them by saying the cons of the decision they have taken. After listening to me they accepted to work together. I felt very proud and I think that is the greatest leadership achievement in a professional environment.",What did you did the problem?
I have absolutely no problem working under a person younger than me till i know that i can gain even a small bit of knowledge from himher. the only criteria i want is that heshe should have deeper and more knowledge than me so that i can learn new stuff and gather better experience from hisher work.,Are you a good the life?
"Confidence is when somebody knows his or her shortcomings and he or she is willing to accept any outcome which may not match with hisher expectations. A confident person is very well aware of the non-trivialities in any matter and can smoothly act on them . Confidence in doing any job is obtained when after practicing a lot he is sure of the outcome because the neural pathways are consolidated. for example a student is confident in taking an exam when he has practiced and studied intensely for an exam and he is sure he will be able to tackle any type of problem. Overconfidence is pseudo-confidence i.e pretending to have an upper-hand in something inspite of lacking substantial knowledge about that particular thing, an overconfident person is ready to disregard any non-triviality in any matter solely based on his false pretences that he can tackle any matter no matter how difficult it is.",What do you want to you?
"I was working as a contract based software developer for a company. I have three more developers along with me in my team and that was the hard time when we were reaching deadline and lots of stress being imposed on us. So we hardly had sleep because we have to work day and night to complete that project within the deadline. We all worked together without rest to our eyes, hands and brain because of which we could successfully complete the project within deadline. Finally we all celebrated the success. This experience taught us a lesson that hard work never goes wasted.",Are you a good in the life?
"Yeah totally I am the smallest child in my family, then it's obvious. All untried and first decisions made for my elder sister were purely refined for me. I was not allowed to take Maths with Biology in my High School. That way I am really lucky. I am lucky that I have a caring family. I am lucky to have bunch of hopeless friends :P. I was also lucky in a way that my Tenth Class CBSE board exams got cancelled due to CCE evaluation concept by the HRD Ministry at that point of time. Unfortunately, that couldn't happen the same when I was in Twelfth Class CBSE. All these instances really proved that I am one lucky bastard :P.",What do you a the relationship?
"During the placements in final year of graduation, I had to prepare for campus drives and GATE at the same time. In that time prioritised the work by giving more importance to placements as GATE was after four months. I continued to attend classes for GATE so that I remain in touch with the syllabus and preparing for the placements in the rest of the time. After placements I switched my attention back to GATE.",What did you did the problem?
"Well, with this job I would try to enhance y technical skills as that is the most important thing which I should have in this stage of my life. Apart from learning new technologies, learning about different architectures and design patterns followed by different product of IT industry, I would also like to lead a team where I can deploy my technical skills a well as managerial skills. I would really like to learn lot of new technologies used by the company for different projects.",What do you to I to affect progress?
"i faced criticism when i was in my first semester. A group project was assigned to our group by out ITP professor. Our group decided that we would explore on Web Development and present it to the whole class. Since, i hardly knew anything about Web Development, i chose an obsolete topic. On top of that my presentation skills were very poor. So facing the whole class was very embarassing to me. Eventually i ended up spoiling the presentation. That was the time when i was criticised for my work.",What do you a me?
"I define success as an achievement of your goals which also adhere to your ideals. My initial interests were in the field of Chemistry followed by Computer Science. Given that I am in a good institute which is well-known for Computer Science, I would say I am partly successful. I don't consider myself completely successful as I couldn't pursue my first interest.",What do you a the life?
"A recent difficult situation I had faced was that of non cooperative team members. We had to write an open book, take home exam and we were in groups of three. We had to stay back during out holidays to complete the exam and one of my teammates refused to do so because she felt homesick. Initially, I was upset and stressed out because we had to complete the exam and there were only two of us and it counted for 50 weightage in a four credit course. That teammate was one of my best friends so that made it all the more difficult. However, I decided to compartmentalize. I decided to take matters into my hands, work hard and attempt to do my best without that teammate. In the end, I was successful and we managed a good grade.",Are you a good know?
