,question,answer,question_keywords,answer_keywords
0,Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.,"The last project I did was to implement a IP asset management portal for my Institute. During the course of our project, we had to deal with a lot of changes from the customer side. Some of the request required the complete redesign of the software architecture. But our team was able to incorporate all of the changes, with a lot of hard work and a lot of sleepless nights","best possible service, went well, customer received, way, time, project, give, example, ensure, completed, ","ip asset management portal, software architecture, sleepless nights, request required, hard work, customer side, complete redesign, last project, project, team, lot, institute, incorporate, implement, deal, course, changes, able, "
1, Why shouldn't I hire you?,I don't give up easily on a thing. I try to explore all the avenues before calling it quits and sometimes it may result in time wasted. I realise that sometimes it's easier to give up because another way exists but I have a tendency to explore everything on a particular approach. I am trying to improve over it by taking it easy on myself if I don't complete a job and switch to next. as I am trying to realise on how wasted efforts are costlier. I have a short temper if work doesn't happen as it was supposed to happen. Earlier I would get worked upon very small things but now I have started practicing meditation to smoothen my transition and be more patient.,"hire, ","would get worked upon, started practicing meditation, another way exists, wasted efforts, time wasted, small things, short temper, particular approach, may result, explore everything, explore, work, trying, try, transition, thing, tendency, taking, switch, supposed, sometimes, smoothen, realise, quits, patient, next, job, improve, happen, give, easy, easily, easier, earlier, costlier, complete, calling, avenues, "
2,What was the toughest decision you ever had to make?  ,"I dont think I have made any such decision in which I was never sure about. I have some short term goals and some long term goals. I am felxible enough to mould my goals when it is utter necessity. Also, I am rigid enough, to make sure that I achieve what I want in life. So, I was never unsure about any big decisions I made in life.","toughest decision, make, ever, ","short term goals, long term goals, utter necessity, rigid enough, never unsure, never sure, make sure, felxible enough, dont think, big decisions, goals, want, mould, made, life, decision, also, achieve, "
3,"If you have problems at your workplace, how and to whom would you communicate it?","I first try to figure out what the actual problem is. Then if I think there is something wrong with me.Then I try not doing some things that will repeat the same problem. 

If I have problem with my colleagues then I try to sort it out by taking them to a picnic kind of things to get their misunderstandings out.

If all above doesnot work then I will go to my team leader and then report the issue that there is something seriously wrong and I am unable to figure out what it is . ","would, workplace, problems, communicate, ","something seriously wrong, something wrong, team leader, picnic kind, doesnot work, first try, actual problem, try, problem, unable, think, things, taking, sort, report, repeat, misunderstandings, issue, go, get, figure, colleagues, "
4,How would you be an asset to this organisation?  ,"I an not a kind of person who would stay calm in my room. I would first like to make something for myself and try hard to impact the world around me. I always dream too high, constantly push my boundaries, so I feel I would really make me an asset for the organisation.","would, organisation, asset, ","would stay calm, would first like, would really make, make something, world around, try hard, constantly push, always dream, room, person, organisation, kind, impact, high, feel, boundaries, asset, "
5,Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .","team project, project outcome, took, time, tell, lead, ","participated fro bangalore, took part, really satisfied, limited time, first prize, best among, 24 hrs, team needed, team lead, work according, project within, made sure, team, work, project, made, teams, person, perfect, manage, idea, hackathon, done, distributed, deadline, completed, capabilities, "
6,What are the qualities that you seek in your manager?,"The qualities which i seek in my manager are :
He has to be punctual. He has to be friendly enough,so that the employee who are working under him, will not be scared in expressing problems.He should not show partiality.
He should be a role model to the people working under him.He has to tackle situations effectively.He should not be scared and frustated very easily.He should have great patience.  ","seek, qualities, manager, ","tackle situations effectively, show partiality, role model, great patience, friendly enough, expressing problems, people working, working, seek, scared, qualities, punctual, manager, frustated, employee, easily, "
7,How do you feel about working under a person who is younger to you?,"I feel great about that. I appreciate his/her hard work and intelligence for having them reached to a senior position at an young age. I will surely take good from that young person, collaborate and learn things.","younger, working, person, feel, ","surely take good, young person, young age, senior position, learn things, hard work, feel great, reached, intelligence, collaborate, appreciate, "
8,"If you have problems at your workplace, how and to whom would you communicate it?"," If I have problems at my workplace, I would look for someone who I trust. This could be my boss, my colleague or just friend. Also if I can know someone who has been in a similar situation, I would like to hear about how he/she approached the problem.","would, workplace, problems, communicate, ","would look, would like, similar situation, know someone, someone, workplace, trust, problems, problem, hear, friend, could, colleague, boss, approached, also, "
9,Why will you resign from a job?,"I will consider resignation when the sparkles are no more in my eyes, and I see no significance in the work I do. I do not go behind a big pay, rather look for an interesting job. If any job that has stopped giving me such challenging jobs, I will quit.","resign, job, ","stopped giving, rather look, go behind, consider resignation, challenging jobs, big pay, interesting job, job, work, sparkles, significance, see, quit, eyes, "
10,Why shouldn't I hire you?,"One problem in my nature is that I get easily distracted from my work if I am not in my workplace. So if you are a company which purely has work from home culture, you wouldn't want to hire me. On the plus side, if you have a lab like environment in the office, I end up forcing myself to work in the lab as it provides me the right environment to work on.","hire, ","get easily distracted, lab like environment, right environment, plus side, one problem, home culture, lab, workplace, work, want, purely, provides, office, nature, hire, forcing, end, company, "
11,What motivates you to do a good job?,"Self competition ,That mainly motivates,I want to do more and more better work and In continuos competition to become more better as I used to be.","good job, motivates, ","self competition, mainly motivates, continuos competition, better work, better, want, used, become, "
12,Do you consider yourself lucky?,"Yes, I consider myself as lucky as I have many  things that some people do not have. I have my parents to guide me, friends to support me and many more. I also think that I am lucky because of some life events I experienced like, I was preparing for GATE along with B.Tech final year, my preparations were not up to the level, but then the paper was not difficult in 2015 and I made it to IIIT-B.  ","lucky, consider, ","tech final year, life events, gate along, experienced like, also think, many things, many, yes, support, preparing, preparations, people, parents, paper, made, lucky, level, iiit, guide, friends, difficult, consider, b, 2015, "
13,Describe a decision you made that was a failure. What happened and why?,"The decision to really take it light at some crucial stages of my life, led to failure. For instance, my IIT-JEE exam. There is no excuse for it. The fault was me, my inability to adapt to the changes happening in the situations all around me.","made, happened, failure, describe, decision, ","really take, jee exam, crucial stages, changes happening, situations, light, life, led, instance, inability, iit, fault, failure, excuse, decision, around, adapt, "
14,Are you a self-motivator?,"Yes, I am a self-motivator. I always think how the better or stronger version of myself would do a particular work and tend to be that person which is a big self motivating technique that allows me to be motivated every time. I always evaluate any performance by comparing my previous performance with my current performance and this motivates to be a better version of myself. It is one of the skills which I think plays an essential part in driving me towards success.","self, motivator, ","big self motivating technique, motivated every time, towards success, think plays, stronger version, particular work, essential part, always think, always evaluate, previous performance, current performance, better version, self, performance, better, yes, would, tend, skills, person, one, motivator, motivates, driving, comparing, allows, "
15,What has been your best career move so far?,I think joining IIITB has been my best career decision so far.,"best career move, far, ","think joining iiitb, best career decision, far, "
16,What is the biggest challenge you have faced so far?,"I was totally new in data science field. I like this area but i don't have that much idea about it. But I have to select specialisation within one day. I don't have sufficient time to think over that. I was completely new in this field. I am so much confused and don't have any idea about anything. So, I communicated with seniors and faculty members to know that what is actual going in each subject. After basic idea of each course, i started surfing about details of each topics on google. After getting clear idea about everything i selected my liking specialisation.  ","biggest challenge, far, faced, ","select specialisation within one day, getting clear idea, data science field, liking specialisation, totally new, sufficient time, started surfing, much idea, much confused, faculty members, completely new, basic idea, actual going, idea, field, topics, think, subject, seniors, selected, like, know, google, everything, details, course, communicated, area, anything, "
17,Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","made, happened, failure, describe, decision, ","team mates worked extra time, generate much progress due, regular progress check meetings, team mates till, progress made periodically, could finally complete, course called introduction, team mates, whole could, team mated, team mate, know much, cross check, us chose, randomly chosen, prevent repetitions, per plan, orally assured, oral assurances, made sense, integrate everyone, going fine, future plan, first year, became clear, 4 students, work amongst, incomplete work, also since, time, team, check, made, course, work, know, also, worthy, without, wanted, verify, trust, think, teammates, said, sadly, promised, project, profession, proceed, problems, part, others, order, one, mistake, met, meet, knowledgable, iiit, however, group, excited, everything, even, end, done, divide, decided, deadlines, control, completed, compensate, communicate, come, charted, bother, believed, bangalore, area, "
18,Describe a decision you made that was a failure. What happened and why?,"When I was working at Cognizant Technology Solutions, I took up a project because it was the only one where an opening was available. The only other alternative was to be benched till another project came. Due to the unavailability of other projects, I took it up although I didn't find the project that interesting. The end result was that I ended up doing a project I wasn't all that excited about. I could have waited a bit longer and got a project of my choice.","made, happened, failure, describe, decision, ","benched till another project came, cognizant technology solutions, end result, bit longer, project, working, waited, unavailability, took, projects, opening, one, interesting, got, find, excited, ended, due, could, choice, available, although, alternative, "
19,Where do you see yourself five years from now?,"I see myself as an in-charge of project. Managing the project, and delivering the expected output.

Apart from work, I see myself as a more mature and calmer person five years from now.","five years, see, ","calmer person five years, expected output, work, see, project, mature, managing, delivering, charge, apart, "
20,Do you consider yourself successful? Why?,"Yes, i am a hard working person and i like to learn and lot for my personal growth","successful, consider, ","hard working person, personal growth, yes, lot, like, learn, "
21,What do people most often criticize about you?,"Lack of time management, the reason why I didn't crack IIT exam","often criticize, people, ","crack iit exam, time management, reason, lack, "
22,Are you a risk taker or do you stay away from risk?,"I am a risk taker. After I failed to clear JEE first time, though I had some other good college option, I risked taking a year drop. After an year, I failed to clear JEE again, but ended up in a better college which I wouldnt have got the first time. I like to take risk, because, whatever might be the outcome, I dont like to give up before even trying it.","stay away, risk taker, risk, ","clear jee first time, good college option, first time, clear jee, better college, whatever might, take risk, risked taking, risk taker, even trying, year drop, dont like, year, like, wouldnt, though, outcome, got, give, failed, ended, "
23,How do you handle change?,"It is said that change is the only constant in life, which is funny because it takes time to adapt to change. I am an optimist; so any change that occurs, I generally see it as a good one. But, more often than not, the opposite happens. I guess, to answer the question, all I can say is that I try to keep an open, unprejudiced mind about why the change is taking place and try my best to adapt to it in ways that benefit me.","handle change, ","unprejudiced mind, taking place, takes time, opposite happens, good one, generally see, ways, try, say, said, question, optimist, open, often, occurs, life, keep, guess, funny, constant, change, best, benefit, answer, adapt, "
24,Are you a self-motivator?,Sometimes when there is no one around to motivate me I turn into self motivator. ,"self, motivator, ","self motivator, one around, turn, sometimes, motivate, "
